name,source_tier,rank,symbol,timeframe_label,direction,category,sharpe,profit_factor,win_rate,trades,max_dd,oos_sharpe,sl,tp,entry_pseudo,exit_pseudo,likely_test_artifact
Crossover-Plus-MACD,LEGEND,LEGEND,USDJPY,D1,BOTH,TREND,0.14766066,1.1504014,0.47439915,957,0.001424,0.0,0.25,0.5,(EMA-10 crosses above EMA-20 AND MACD-LINE > SIGNAL-LINE),EMA-10 crosses below EMA-20,False
Death-Cross-50-200,LEGEND,LEGEND,USDJPY,M1,BOTH,TREND,-0.7925521,0.87318975,0.30460164,48309,0.04241821,0.0,0.5,1.0,SMA-50 crosses below SMA-200,SMA-50 crosses above SMA-200,False
Double-Bollinger-Trend,LEGEND,LEGEND,USDJPY,W1,BOTH,TREND,-0.061388332,0.8629302,0.4031008,129,0.0037014717,0.0,0.25,0.5,(CLOSE > BB-UPPER-1 AND CLOSE < BB-UPPER-2),CLOSE < BB-MIDDLE-1,False
Elder-Impulse-Simulated,LEGEND,LEGEND,USDJPY,M1,BOTH,TREND,-5.174692,0.51840293,0.28642377,794728,0.8434943,0.0,0.25,0.5,(CLOSE > EMA-13 AND MACD-LINE > SIGNAL-LINE),CLOSE crosses below EMA-13,False
Extreme-Reversion-BB,LEGEND,LEGEND,USDJPY,W1,BOTH,TREND,-0.057547703,0.87185735,0.384,125,0.003932676,0.0,0.4,0.8,CLOSE crosses above BB-LOWER,CLOSE >= BB-MIDDLE,False
Fast-EMA-Cross-9-21,LEGEND,LEGEND,USDJPY,M1,BOTH,TREND,-4.943401,0.62985784,0.2895705,401726,0.4214758,0.0,0.2,0.4,EMA-9 crosses above EMA-21,EMA-9 crosses below EMA-21,False
Fibonacci-EMA-Scalp,LEGEND,LEGEND,USDJPY,W1,BOTH,TREND,0.070979714,1.1863823,0.5234899,149,0.0019803129,0.0,0.1,0.2,(EMA-5 > EMA-8 AND EMA-8 > EMA-13),EMA-5 crosses below EMA-8,False
Golden-Cross-50-200,LEGEND,LEGEND,USDJPY,M1,BOTH,TREND,-0.7925521,0.87318975,0.30460164,48309,0.04241821,0.0,0.5,1.0,SMA-50 crosses above SMA-200,SMA-50 crosses below SMA-200,False
Holy-Grail-Proxy,LEGEND,LEGEND,USDJPY,H1,BOTH,TREND,0.0047494797,1.0024959,0.32937366,2778,0.0022403689,0.0,0.25,0.75,(CLOSE > SMA-50 AND CLOSE crosses above EMA-20),CLOSE crosses below EMA-20,False
Legend-London-Breakout-V1,LEGEND,,USDJPY,H1,BOTH,BREAKOUT,0.0,0.0,0.0,0,0.0,,0.2,0.6,break high low 08:00-09:00,time close 16:00,False
Legend-RSI-Reversion-V1,LEGEND,,USDJPY,M5,BOTH,REVERSION,0.0,0.0,0.0,0,0.0,,0.1,0.1,rsi below 10,rsi above 90,False
Low-Vol-Breakout,LEGEND,LEGEND,USDJPY,M1,BOTH,TREND,-5.1826563,0.60476285,0.30286804,460349,0.48306608,0.0,0.2,0.6,(CLOSE crosses above SMA-20 AND ATR-14 > 0.0005),CLOSE crosses below SMA-20,False
MA-Ribbon-Scalp,LEGEND,LEGEND,USDJPY,W1,BOTH,TREND,0.057561614,1.1488512,0.5234899,149,0.0019803129,0.0,0.1,0.15,(SMA-5 > SMA-8 AND SMA-8 > SMA-13),SMA-5 crosses below SMA-8,False
MACD-Above-Zero-Cross,LEGEND,LEGEND,USDJPY,H4,BOTH,TREND,0.16429879,1.0965166,0.3849426,2351,0.0017734196,0.0,0.25,0.5,(MACD-LINE > 0 AND MACD-LINE crosses above SIGNAL-LINE),MACD-LINE crosses below SIGNAL-LINE,False
MACD-Expansion,LEGEND,LEGEND,USDJPY,H4,BOTH,TREND,0.14140649,1.0851392,0.36,2350,0.0018396227,0.0,0.3,0.7,(MACD-LINE > 0 AND MACD-LINE > SIGNAL-LINE),MACD-LINE crosses below SIGNAL-LINE,False
MACD-RSI-Confluence,LEGEND,LEGEND,USDJPY,M1,BOTH,TREND,-5.328233,0.5668073,0.26234782,600531,0.6907892,0.0,0.3,0.6,(MACD-LINE > SIGNAL-LINE AND RSI-14 > 50),MACD-LINE crosses below SIGNAL-LINE,False
MACD-Signal-Cross,LEGEND,LEGEND,USDJPY,H4,BOTH,TREND,0.16429879,1.0965166,0.3849426,2351,0.0017734196,0.0,0.25,0.5,MACD-LINE crosses above SIGNAL-LINE,MACD-LINE crosses below SIGNAL-LINE,False
MACD-Zero-Cross-Long,LEGEND,LEGEND,USDJPY,H4,BOTH,TREND,0.14907692,1.0884434,0.378137,2351,0.0015164814,0.0,0.3,0.6,MACD-LINE crosses above 0,MACD-LINE crosses below 0,False
MACD-Zero-Reject,LEGEND,LEGEND,USDJPY,H4,BOTH,TREND,0.14907692,1.0884434,0.378137,2351,0.0015164814,0.0,0.3,0.6,(CLOSE > EMA-50 AND MACD-LINE crosses above 0),MACD-LINE crosses below SIGNAL-LINE,False
Medium-EMA-Cross-20-50,LEGEND,LEGEND,USDJPY,H1,BOTH,TREND,0.10270851,1.0543405,0.38395107,2779,0.0016057136,0.0,0.3,0.6,EMA-20 crosses above EMA-50,EMA-20 crosses below EMA-50,False
