timestamp,strategy,median_sharpe,paths,pass_rate,outcome
3979744921,Bred-Legen-718-Gen259,-22.7457,45,0.0000,FAIL
3979744948,Bred-Legen-796-Gen2,-22.6452,45,0.0000,FAIL
3979744971,Bred-Legen-531-Gen234,-22.6749,45,0.0000,FAIL
3979744998,Bred-Legen-792-Gen2,-22.5556,45,0.0000,FAIL
3979748230,Bred-Legen-648-Gen196,-22.4322,45,0.0000,FAIL
3979748253,Bred-Legen-153-Gen2,-22.7083,45,0.0000,FAIL
3979748280,Bred-Legen-8-Gen181,-22.4322,45,0.0000,FAIL
3979748307,Bred-Bred--858-Gen194,-22.6749,45,0.0000,FAIL
3979748333,Bred-Bred--855-Gen208,-22.6833,45,0.0000,FAIL
3979748357,Bred-Legen-244-Gen2,-22.7860,45,0.0000,FAIL
3979748384,Bred-Legen-531-Gen234,-22.6749,45,0.0000,FAIL
3979748410,Bred-Legen-391-Gen2,-22.4514,45,0.0000,FAIL
3979748437,Bred-Bred--419-Gen305,-22.5820,45,0.0000,FAIL
3979748460,Bred-Bred--560-Gen311,-22.6954,45,0.0000,FAIL
3979748487,Bred-Bred--661-Gen302,-22.6698,45,0.0000,FAIL
3979748513,Bred-Legen-951-Gen167,-22.4322,45,0.0000,FAIL
3979748537,Bred-Legen-792-Gen2,-22.5556,45,0.0000,FAIL
3979748563,Bred-Legen-796-Gen2,-22.6452,45,0.0000,FAIL
3979748590,Bred-Legen-718-Gen259,-22.7457,45,0.0000,FAIL
3979748617,Bred-Legen-870-Gen2,-22.6685,45,0.0000,FAIL
3979748641,Bred-Bred--303-Gen151,-22.5379,45,0.0000,FAIL
3979748668,Bred-Bred--848-Gen320,-22.5355,45,0.0000,FAIL
3979748695,Bred-Legen-959-Gen187,-22.5984,45,0.0000,FAIL
3979748718,Bred-Legen-604-Gen2,-22.5758,45,0.0000,FAIL
3979768560,Bred-Bred--560-Gen311,1.7634,45,0.7778,PASS
3979768585,Bred-Bred--855-Gen208,1.6976,45,0.7556,PASS
